job_url,ref_nr
https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1203434012-S,10000-1203434012-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1203483195-S,10000-1203483195-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1203445640-S,10000-1203445640-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/14628-00007b0eb83001-S,14628-00007b0eb83001-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1203434658-S,10000-1203434658-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/12857-10361837-S,12857-10361837-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/14456-k11173.22621-S,14456-k11173.22621-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/12608-1307512-10387-1-S,12608-1307512-10387-1-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/14628-00007b0ed27001-S,14628-00007b0ed27001-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/12608-1306585-7837-1-S,12608-1306585-7837-1-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/12608-1307161-63944-1-S,12608-1307161-63944-1-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/12518-8JYCKH-P5J-S,12518-8JYCKH-P5J-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/12608-1307950-21903-1-S,12608-1307950-21903-1-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1203218982-S,10000-1203218982-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1203434708-S,10000-1203434708-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/12608-1306775-28162-1-S,12608-1306775-28162-1-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1203445344-S,10000-1203445344-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/12608-1305011-60401-1-S,12608-1305011-60401-1-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1203446516-S,10000-1203446516-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/12608-1305921-63914-1-S,12608-1305921-63914-1-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1203475693-S,10000-1203475693-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1001705233-S,10001-1001705233-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/12608-1305501-59199-1-S,12608-1305501-59199-1-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1203470812-S,10000-1203470812-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/12518-6MW5SC-WTQ-S,12518-6MW5SC-WTQ-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1203456010-S,10000-1203456010-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/12608-1305946-14857-1-S,12608-1305946-14857-1-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1203454390-S,10000-1203454390-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/12857-10357235-S,12857-10357235-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1203448405-S,10000-1203448405-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/12608-1307671-9085-1-S,12608-1307671-9085-1-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1001702549-S,10001-1001702549-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1203491163-S,10000-1203491163-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/12608-1306079-19565-1-S,12608-1306079-19565-1-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1203456851-S,10000-1203456851-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1203433894-S,10000-1203433894-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/13348-1467582-1-S,13348-1467582-1-S
